occ,n_aus,n_events,n_subjects,n_faces,duration,fullface_pct,session_pct,best_dice,best_status,best_match,band
17+22,2,2,2,2,0.781,8.220175236032704e-5,2.5844391363028103e-6,0.5,complete,"disgust, sadness, shame",moderate (0.4-0.7)
12+14,2,2,2,2,0.781,8.220175236032704e-5,2.5844391363028103e-6,1,complete,contempt,strong (>=0.7)
1+2+5+16+25+26,6,2,2,2,0.781,8.220175236032704e-5,2.5844391363028103e-6,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
2+5+12+25,4,3,2,2,0.781,8.220175236032704e-5,2.5844391363028103e-6,0.8,partial only,awe,strong (>=0.7)
7+12+17,3,1,1,1,0.781,8.220175236032704e-5,2.5844391363028103e-6,0.8,partial only,pride,strong (>=0.7)
1+2+4+20,4,2,2,2,0.7809999999999999,8.220175236032703e-5,2.58443913630281e-6,0.8888888888888888,complete,fear,strong (>=0.7)
4+12+17+19+25+26,6,2,2,2,0.78,8.209650043669025e-5,2.5811299952832163e-6,0.6666666666666666,complete,"desire, sadness",moderate (0.4-0.7)
6+10+12,3,2,1,1,0.748,7.872843888031322e-5,2.4752374826562128e-6,0.8,complete,happiness,strong (>=0.7)
1+4+5,3,1,1,1,0.748,7.872843888031322e-5,2.4752374826562128e-6,0.8571428571428571,complete,fear,strong (>=0.7)
12+17+24,3,2,2,2,0.747,7.862318695667644e-5,2.4719283416366187e-6,0.6666666666666666,partial only,sympathy,moderate (0.4-0.7)
6+15+25,3,1,1,1,0.747,7.862318695667644e-5,2.4719283416366187e-6,1,complete,sadness,strong (>=0.7)
5+12+24,3,2,2,2,0.747,7.862318695667644e-5,2.4719283416366187e-6,0.6666666666666666,complete,anger,moderate (0.4-0.7)
1+2+4+5+12+25+26,7,1,1,1,0.747,7.862318695667644e-5,2.4719283416366187e-6,0.9230769230769231,complete,"awe, fear",strong (>=0.7)
1+2+5+22+25+26,6,1,1,1,0.747,7.862318695667644e-5,2.4719283416366187e-6,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
1+2+5+17+18+25,6,2,2,2,0.747,7.862318695667644e-5,2.4719283416366187e-6,0.8,complete,fear,strong (>=0.7)
1+4+6+17+23,5,1,1,1,0.747,7.862318695667644e-5,2.4719283416366187e-6,0.8,complete,sadness,strong (>=0.7)
26+36,2,3,3,3,0.746,7.851793503303965e-5,2.4686192006170247e-6,0.5,complete,"disgust, surprise, sympathy",moderate (0.4-0.7)
1+2+7+25,4,1,1,1,0.714,7.514987347666262e-5,2.362726687990021e-6,0.8,complete,fear,strong (>=0.7)
1+12+20+25,4,1,1,1,0.714,7.514987347666262e-5,2.362726687990021e-6,0.75,complete,fear,strong (>=0.7)
7+12+20+25,4,1,1,1,0.714,7.514987347666262e-5,2.362726687990021e-6,0.75,complete,"coyness, desire, embarrassment",strong (>=0.7)
1+4+23,3,2,2,2,0.714,7.514987347666262e-5,2.362726687990021e-6,0.6666666666666666,complete,"anger, sadness",moderate (0.4-0.7)
2+4+14,3,1,1,1,0.714,7.514987347666262e-5,2.362726687990021e-6,0.6666666666666666,complete,contempt,moderate (0.4-0.7)
1+2+10+12+25+26,6,2,2,2,0.7130000000000001,7.504462155302584e-5,2.3594175469704276e-6,0.8333333333333334,partial only,awe,strong (>=0.7)
4+5+14,3,2,2,2,0.713,7.504462155302583e-5,2.359417546970427e-6,0.6666666666666666,complete,"anger, contempt",moderate (0.4-0.7)
5+17+25+26,4,1,1,1,0.713,7.504462155302583e-5,2.359417546970427e-6,0.75,complete,"fear, sadness",strong (>=0.7)
1+2+22+25+26,5,1,1,1,0.713,7.504462155302583e-5,2.359417546970427e-6,0.8888888888888888,complete,surprise,strong (>=0.7)
9+12+25,3,5,4,5,0.712,7.493936962938905e-5,2.356108405950833e-6,0.8,complete,"disgust, happiness",strong (>=0.7)
4+17+18+25,4,2,1,1,0.712,7.493936962938905e-5,2.356108405950833e-6,0.6666666666666666,complete,"sadness, shame",moderate (0.4-0.7)
12+18+25,3,6,6,6,0.7110000000000001,7.483411770575227e-5,2.35279926493124e-6,0.8571428571428571,partial only,relief,strong (>=0.7)
10+17,2,1,1,1,0.68,7.157130807301202e-5,2.2502158933238296e-6,1,complete,disgust,strong (>=0.7)
1+2+7,3,1,1,1,0.68,7.157130807301202e-5,2.2502158933238296e-6,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
4+15+18,3,1,1,1,0.68,7.157130807301202e-5,2.2502158933238296e-6,0.8,complete,sadness,strong (>=0.7)
2+24,2,2,2,2,0.6799999999999999,7.1571308073012e-5,2.2502158933238296e-6,0.4,complete,"anger, fear, interest, surprise, sympathy",moderate (0.4-0.7)
8+25+27,3,1,1,1,0.679,7.146605614937524e-5,2.246906752304236e-6,0.8,partial only,sympathy,strong (>=0.7)
1+2+12+14,4,1,1,1,0.679,7.146605614937524e-5,2.246906752304236e-6,0.8571428571428571,complete,interest,strong (>=0.7)
9+22,2,1,1,1,0.679,7.146605614937524e-5,2.246906752304236e-6,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
8+17+25+26,4,2,2,2,0.679,7.146605614937524e-5,2.246906752304236e-6,0.75,complete,sadness,strong (>=0.7)
1+2+5+12+18+25+26,7,1,1,1,0.679,7.146605614937524e-5,2.246906752304236e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
6+10+25,3,2,2,2,0.679,7.146605614937524e-5,2.246906752304236e-6,0.8,complete,disgust,strong (>=0.7)
1+19+25+26,4,2,2,2,0.678,7.136080422573846e-5,2.243597611284642e-6,0.8571428571428571,partial only,desire,strong (>=0.7)
18+24,2,2,2,2,0.6779999999999999,7.136080422573845e-5,2.2435976112846415e-6,0.4,complete,"anger, pain, sympathy",moderate (0.4-0.7)
1+2+12+17+24,5,2,2,2,0.646,6.799274266936142e-5,2.137705098657638e-6,0.75,complete,"interest, sympathy",strong (>=0.7)
12+17+32,3,2,1,1,0.646,6.799274266936142e-5,2.137705098657638e-6,0.5,complete,"contentment, happiness",moderate (0.4-0.7)
6+10+12+25,4,3,1,2,0.646,6.799274266936142e-5,2.137705098657638e-6,0.8571428571428571,complete,happiness,strong (>=0.7)
1+2+4+5+25+26,6,2,2,2,0.646,6.799274266936142e-5,2.137705098657638e-6,1,complete,fear,strong (>=0.7)
1+4+7+12,4,1,1,1,0.646,6.799274266936142e-5,2.137705098657638e-6,0.6666666666666666,complete,"anger, confusion, pride",moderate (0.4-0.7)
6+16+20+25,4,1,1,1,0.646,6.799274266936142e-5,2.137705098657638e-6,0.6666666666666666,partial only,pain,moderate (0.4-0.7)
1+16+20+25+26,5,1,1,1,0.646,6.799274266936142e-5,2.137705098657638e-6,0.8,complete,fear,strong (>=0.7)
4+6+10+25,4,1,1,1,0.646,6.799274266936142e-5,2.137705098657638e-6,0.7272727272727273,complete,disgust,strong (>=0.7)
17+25,2,3,2,3,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.8,complete,sadness,strong (>=0.7)
1+2+5+17+23,5,3,3,3,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.75,complete,"fear, surprise",strong (>=0.7)
6+19+25+26,4,1,1,1,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.8571428571428571,partial only,desire,strong (>=0.7)
1+2+6+12+25,5,1,1,1,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.75,complete,"happiness, interest",strong (>=0.7)
1+2+7+9,4,1,1,1,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.6,complete,fear,moderate (0.4-0.7)
4+17+20+24,4,1,1,1,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.75,complete,anger,strong (>=0.7)
1+2+22,3,2,2,2,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
14+17+19+25+26,5,2,1,1,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.75,partial only,desire,strong (>=0.7)
1+5+18,3,2,1,1,0.645,6.788749074572464e-5,2.1343959576380444e-6,0.6666666666666666,complete,"fear, surprise",moderate (0.4-0.7)
4+5+14+17,4,2,2,2,0.644,6.778223882208785e-5,2.1310868166184504e-6,0.75,complete,anger,strong (>=0.7)
1+4+24,3,4,4,4,0.644,6.778223882208785e-5,2.1310868166184504e-6,0.6666666666666666,complete,"anger, sadness, sympathy",moderate (0.4-0.7)
14+19+25+26,4,3,3,3,0.644,6.778223882208785e-5,2.1310868166184504e-6,0.8571428571428571,partial only,desire,strong (>=0.7)
1+2+4+5+20+25+26,7,2,2,2,0.6439999999999999,6.778223882208783e-5,2.13108681661845e-6,1,complete,fear,strong (>=0.7)
1+2+7+12,4,3,2,2,0.637,6.704547535663038e-5,2.1079228294812933e-6,0.8571428571428571,complete,interest,strong (>=0.7)
16,1,3,3,3,0.612,6.441417726571081e-5,2.025194303991447e-6,0.5,complete,disgust,moderate (0.4-0.7)
2+5+24,3,1,1,1,0.612,6.441417726571081e-5,2.025194303991447e-6,0.6666666666666666,complete,"anger, fear, surprise",moderate (0.4-0.7)
25+30,2,1,1,1,0.612,6.441417726571081e-5,2.025194303991447e-6,0.5,complete,"disgust, happiness, sympathy",moderate (0.4-0.7)
1+2+12+17+20+25+26+32,8,1,1,1,0.612,6.441417726571081e-5,2.025194303991447e-6,0.7142857142857143,complete,"awe, fear",strong (>=0.7)
1+2+5+23+25,5,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.8888888888888888,complete,fear,strong (>=0.7)
7+10,2,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.6666666666666666,complete,"anger, disgust",moderate (0.4-0.7)
7+17+24,3,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.8571428571428571,complete,anger,strong (>=0.7)
24+26+30,3,2,2,2,0.611,6.430892534207404e-5,2.021885162971853e-6,0.4,complete,"disgust, surprise, sympathy",moderate (0.4-0.7)
1+2+4+5+20,5,2,2,2,0.611,6.430892534207404e-5,2.021885162971853e-6,1,complete,fear,strong (>=0.7)
2+7+9+16,4,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.5714285714285714,complete,disgust,moderate (0.4-0.7)
1+4+15+17,4,4,3,4,0.611,6.430892534207404e-5,2.021885162971853e-6,1,complete,sadness,strong (>=0.7)
7+17,2,2,2,2,0.611,6.430892534207404e-5,2.021885162971853e-6,0.6666666666666666,complete,anger,moderate (0.4-0.7)
1+2+4+12+19+25+26,7,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.7692307692307693,complete,"awe, fear",strong (>=0.7)
5+16+20+25+26,5,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.8888888888888888,complete,fear,strong (>=0.7)
2+4+15,3,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.8,complete,sadness,strong (>=0.7)
1+2+12+15+25+26,6,1,1,1,0.611,6.430892534207404e-5,2.021885162971853e-6,0.8333333333333334,partial only,awe,strong (>=0.7)
1+2+5+14+17,5,3,2,2,0.61,6.420367341843725e-5,2.0185760219522588e-6,0.75,complete,"fear, surprise",strong (>=0.7)
1+2+12+16+25,5,2,2,2,0.5780000000000001,6.083561186206022e-5,1.9126835093252553e-6,0.75,complete,interest,strong (>=0.7)
1+2+17+25+26,5,2,2,2,0.5780000000000001,6.083561186206022e-5,1.9126835093252553e-6,0.8888888888888888,complete,surprise,strong (>=0.7)
5+17+18,3,2,2,2,0.5780000000000001,6.083561186206022e-5,1.9126835093252553e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
8+12+19+25+26,5,1,1,1,0.578,6.083561186206021e-5,1.9126835093252553e-6,0.75,partial only,desire,strong (>=0.7)
18+30,2,1,1,1,0.578,6.083561186206021e-5,1.9126835093252553e-6,0.3333333333333333,partial only,relief,weak (0.2-0.4)
1+2+5+12+24,5,1,1,1,0.578,6.083561186206021e-5,1.9126835093252553e-6,0.75,complete,"fear, interest, surprise",strong (>=0.7)
1+5+25,3,1,1,1,0.578,6.083561186206021e-5,1.9126835093252553e-6,0.8571428571428571,complete,fear,strong (>=0.7)
4+12+23,3,2,2,2,0.5770000000000001,6.073035993842344e-5,1.9093743683056617e-6,0.6666666666666666,complete,anger,moderate (0.4-0.7)
4+8+12+25+26,5,2,1,1,0.577,6.073035993842343e-5,1.9093743683056612e-6,0.6666666666666666,complete,"desire, relief",moderate (0.4-0.7)
4+20+23+25,4,1,1,1,0.577,6.073035993842343e-5,1.9093743683056612e-6,0.75,complete,"anger, fear",strong (>=0.7)
6+18,2,2,2,2,0.577,6.073035993842343e-5,1.9093743683056612e-6,0.5,complete,"happiness, sadness",moderate (0.4-0.7)
12+25+33,3,1,1,1,0.577,6.073035993842343e-5,1.9093743683056612e-6,0.8,complete,happiness,strong (>=0.7)
1+2+14+25,4,2,2,2,0.577,6.073035993842343e-5,1.9093743683056612e-6,0.75,complete,"fear, surprise",strong (>=0.7)
6+9+12+25,4,3,2,2,0.577,6.073035993842343e-5,1.9093743683056612e-6,0.8571428571428571,complete,happiness,strong (>=0.7)
4+8+25+26,4,3,2,2,0.5760000000000001,6.062510801478665e-5,1.9060652272860676e-6,0.6666666666666666,complete,"anger, fear, sadness, sympathy",moderate (0.4-0.7)
8+20+25+26,4,4,4,4,0.575,6.051985609114986e-5,1.9027560862664734e-6,0.75,complete,fear,strong (>=0.7)
16+20,2,1,1,1,0.544,5.725704645840962e-5,1.800172714659064e-6,0.5,complete,fear,moderate (0.4-0.7)
17+23+30,3,1,1,1,0.544,5.725704645840962e-5,1.800172714659064e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
9+12+19+25+26,5,1,1,1,0.544,5.725704645840962e-5,1.800172714659064e-6,0.8,complete,disgust,strong (>=0.7)
6+12+26,3,1,1,1,0.544,5.725704645840962e-5,1.800172714659064e-6,0.8,complete,happiness,strong (>=0.7)
4+7+15,3,1,1,1,0.544,5.725704645840962e-5,1.800172714659064e-6,0.8,complete,"anger, confusion, sadness",strong (>=0.7)
4+6+10+12+25+26,6,1,1,1,0.544,5.725704645840962e-5,1.800172714659064e-6,0.7692307692307693,complete,disgust,strong (>=0.7)
6+12+17+19+25,5,1,1,1,0.543,5.7151794534772836e-5,1.79686357363947e-6,0.75,complete,happiness,strong (>=0.7)
4+12+24,3,3,2,2,0.543,5.7151794534772836e-5,1.79686357363947e-6,0.6666666666666666,complete,anger,moderate (0.4-0.7)
1+4+5+12,4,1,1,1,0.543,5.7151794534772836e-5,1.79686357363947e-6,0.75,complete,fear,strong (>=0.7)
6+12+17+25+26+32,6,1,1,1,0.543,5.7151794534772836e-5,1.79686357363947e-6,0.7272727272727273,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
9+11+22,3,1,1,1,0.543,5.7151794534772836e-5,1.79686357363947e-6,0.5,complete,disgust,moderate (0.4-0.7)
7+9,2,2,2,2,0.5429999999999999,5.715179453477282e-5,1.7968635736394696e-6,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
1+6+20,3,2,1,1,0.5429999999999999,5.715179453477282e-5,1.7968635736394696e-6,0.5714285714285714,complete,"fear, sadness",moderate (0.4-0.7)
1+2+9,3,2,2,2,0.542,5.704654261113605e-5,1.793554432619876e-6,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
1+2+12+18,4,2,2,2,0.542,5.704654261113605e-5,1.793554432619876e-6,0.8571428571428571,complete,interest,strong (>=0.7)
4+6+19+25+26,5,2,2,2,0.542,5.704654261113605e-5,1.793554432619876e-6,0.75,partial only,desire,strong (>=0.7)
4+15+16+25,4,1,1,1,0.51,5.367848105475901e-5,1.6876619199928723e-6,0.75,complete,sadness,strong (>=0.7)
4+5+22+25,4,1,1,1,0.51,5.367848105475901e-5,1.6876619199928723e-6,0.8,complete,anger,strong (>=0.7)
1+2+5+13,4,1,1,1,0.51,5.367848105475901e-5,1.6876619199928723e-6,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
1+2+5+15+17+25,6,1,1,1,0.51,5.367848105475901e-5,1.6876619199928723e-6,0.8,complete,fear,strong (>=0.7)
1+2+5+9+11+22,6,1,1,1,0.51,5.367848105475901e-5,1.6876619199928723e-6,0.6666666666666666,complete,"fear, surprise",moderate (0.4-0.7)
1+2+5+7+12,5,2,2,2,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.75,complete,"fear, interest, surprise",strong (>=0.7)
12+19,2,2,2,2,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
1+2+5+10+20+25+26,7,1,1,1,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.8571428571428571,complete,fear,strong (>=0.7)
1+2+4+22+25,5,1,1,1,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.8,complete,fear,strong (>=0.7)
1+2+4+17+24,5,1,1,1,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.75,partial only,sympathy,strong (>=0.7)
2+4+15+17,4,1,1,1,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
1+2+5+17+20+25+26+32,8,1,1,1,0.509,5.357322913112223e-5,1.6843527789732785e-6,0.8,complete,fear,strong (>=0.7)
1+2+26+35,4,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.8571428571428571,complete,surprise,strong (>=0.7)
12+25+27,3,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.8571428571428571,complete,"desire, relief",strong (>=0.7)
7+10+25+26,4,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
4+25+26+36,4,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.6666666666666666,complete,"anger, fear, sadness, sympathy",moderate (0.4-0.7)
4+6+10,3,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
7+14+17,3,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
9+19+25+26,4,1,1,1,0.476,5.009991565110841e-5,1.5751511253266807e-6,0.8888888888888888,complete,disgust,strong (>=0.7)
14+17+25+26+32,5,1,1,1,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+4+5+17,4,1,1,1,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.75,complete,"anger, fear, sadness",strong (>=0.7)
1+17+18+24,4,2,2,2,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.8571428571428571,partial only,sympathy,strong (>=0.7)
17+26+36,3,1,1,1,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+2+5+15+17,5,1,1,1,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.75,complete,"fear, sadness, surprise",strong (>=0.7)
4+14+17+25+26,5,1,1,1,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.75,complete,contempt,strong (>=0.7)
2+4+25+26,4,2,2,2,0.475,4.999466372747163e-5,1.5718419843070869e-6,0.8,complete,fear,strong (>=0.7)
12+14+25,3,3,3,3,0.47400000000000003,4.988941180383485e-5,1.568532843287493e-6,0.8,complete,"contempt, happiness",strong (>=0.7)
12+17+23,3,3,2,2,0.474,4.9889411803834843e-5,1.5685328432874928e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
1+15+25,3,2,2,2,0.44999999999999996,4.736336563655206e-5,1.48911345881724e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
6+12+17+19+25+26+32,7,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.6666666666666666,complete,"amusement, coyness, happiness, triumph",moderate (0.4-0.7)
35,1,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0,NA,NA,none (<0.2)
1+2+19,3,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
8+19+25+26,4,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.8571428571428571,partial only,desire,strong (>=0.7)
1+4+17+23,4,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.75,complete,"anger, sadness",strong (>=0.7)
5+24+26,3,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.8,complete,surprise,strong (>=0.7)
7+15,2,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.8,partial only,embarrassment,strong (>=0.7)
6+9+12+19+25+26,6,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.7272727272727273,complete,"amusement, coyness, disgust, happiness, triumph",strong (>=0.7)
6+25+26+32,4,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.75,complete,sadness,strong (>=0.7)
9+17+25+26,4,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
4+17+23+26,4,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.75,complete,anger,strong (>=0.7)
2+20,2,1,1,1,0.442,4.652135024745781e-5,1.4626403306604894e-6,0.5714285714285714,complete,fear,moderate (0.4-0.7)
2+5+12+25+26,5,2,2,2,0.44100000000000006,4.6416098323821033e-5,1.4593311896408955e-6,0.9090909090909091,partial only,awe,strong (>=0.7)
12+17+25+32,4,2,2,2,0.441,4.641609832382103e-5,1.4593311896408955e-6,0.6666666666666666,complete,happiness,moderate (0.4-0.7)
1+2+4+17+25+26,6,1,1,1,0.441,4.641609832382103e-5,1.4593311896408955e-6,0.8333333333333334,complete,"fear, sadness",strong (>=0.7)
2+4+20,3,1,1,1,0.441,4.641609832382103e-5,1.4593311896408955e-6,0.75,complete,fear,strong (>=0.7)
4+14+17+19+25+26,6,1,1,1,0.441,4.641609832382103e-5,1.4593311896408955e-6,0.6666666666666666,complete,"contempt, desire, sadness",moderate (0.4-0.7)
10+12+17+25,4,1,1,1,0.441,4.641609832382103e-5,1.4593311896408955e-6,0.6666666666666666,complete,"disgust, happiness",moderate (0.4-0.7)
8+12+25+26,4,4,4,4,0.43900000000000006,4.620559447654747e-5,1.4527129076017079e-6,0.75,complete,"desire, relief",strong (>=0.7)
12+18+26+36,4,1,1,1,0.415,4.3679548309264684e-5,1.3732935231314548e-6,0.75,partial only,relief,strong (>=0.7)
25+27,2,2,2,2,0.40800000000000003,4.294278484380721e-5,1.350129535994298e-6,1,partial only,sympathy,strong (>=0.7)
4+7+12+25+26,5,2,1,1,0.40800000000000003,4.294278484380721e-5,1.350129535994298e-6,0.8888888888888888,complete,desire,strong (>=0.7)
1+5+20,3,1,1,1,0.408,4.294278484380721e-5,1.3501295359942978e-6,0.8,complete,fear,strong (>=0.7)
17+18+26+36,4,1,1,1,0.408,4.294278484380721e-5,1.3501295359942978e-6,0.5714285714285714,complete,sadness,moderate (0.4-0.7)
1+4+6+25+26,5,1,1,1,0.408,4.294278484380721e-5,1.3501295359942978e-6,0.8,complete,"fear, sadness",strong (>=0.7)
5+20+25+26,4,2,2,2,0.408,4.294278484380721e-5,1.3501295359942978e-6,1,complete,fear,strong (>=0.7)
9+17+19+25+26,5,1,1,1,0.408,4.294278484380721e-5,1.3501295359942978e-6,0.8,complete,disgust,strong (>=0.7)
1+4+6+20+25+26,6,1,1,1,0.408,4.294278484380721e-5,1.3501295359942978e-6,0.9090909090909091,complete,fear,strong (>=0.7)
1+4+7+14,4,1,1,1,0.408,4.294278484380721e-5,1.3501295359942978e-6,0.6666666666666666,complete,"anger, confusion",moderate (0.4-0.7)
4+5+12+25+26,5,2,1,1,0.40700000000000003,4.283753292017043e-5,1.346820394974704e-6,0.8,complete,anger,strong (>=0.7)
1+4+6+23,4,2,1,1,0.40700000000000003,4.283753292017043e-5,1.346820394974704e-6,0.75,complete,sadness,strong (>=0.7)
4+5+20+25+26,5,1,1,1,0.407,4.2837532920170426e-5,1.346820394974704e-6,0.9090909090909091,complete,fear,strong (>=0.7)
4+5+15+17,4,1,1,1,0.407,4.2837532920170426e-5,1.346820394974704e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
1+4+22,3,1,1,1,0.407,4.2837532920170426e-5,1.346820394974704e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+2+5+16+25,5,1,1,1,0.407,4.2837532920170426e-5,1.346820394974704e-6,0.8888888888888888,complete,fear,strong (>=0.7)
12+14+25+26,4,1,1,1,0.407,4.2837532920170426e-5,1.346820394974704e-6,0.75,complete,"desire, relief",strong (>=0.7)
4+10+16+25,4,1,1,1,0.407,4.2837532920170426e-5,1.346820394974704e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
4+17+25,3,4,2,2,0.404,4.252177714926008e-5,1.3368929719159224e-6,0.8,partial only,shame,strong (>=0.7)
1+2+5+12+18+26+36,7,1,1,1,0.4,4.210076945471295e-5,1.3236564078375469e-6,0.7692307692307693,partial only,awe,strong (>=0.7)
12+15+16,3,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.6666666666666666,complete,"disgust, embarrassment",moderate (0.4-0.7)
7+9+25+26,4,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.8888888888888888,complete,disgust,strong (>=0.7)
1+4+12+25,4,2,2,2,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.75,complete,"fear, sadness",strong (>=0.7)
1+20+22,3,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.5714285714285714,complete,fear,moderate (0.4-0.7)
1+4+6+8+12+25+26,7,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.6666666666666666,complete,"amusement, coyness, fear, happiness, sadness, triumph",moderate (0.4-0.7)
4+6+18+25,4,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.6666666666666666,partial only,pain,moderate (0.4-0.7)
1+2+4+17,4,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.75,complete,"fear, sadness",strong (>=0.7)
18+35,2,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.3333333333333333,partial only,relief,weak (0.2-0.4)
14+17+23,3,3,3,3,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.5714285714285714,complete,anger,moderate (0.4-0.7)
6+12+18,3,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.8,complete,happiness,strong (>=0.7)
4+7+18,3,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.8,complete,"anger, confusion",strong (>=0.7)
9+24,2,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
1+2+20+26,4,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.8571428571428571,complete,surprise,strong (>=0.7)
1+2+5+10+12+25+26,7,1,1,1,0.374,3.936421944015661e-5,1.2376187413281064e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
17+28,2,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.5,complete,"disgust, sadness, shame",moderate (0.4-0.7)
1+2+4+15,4,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
1+4+5+18,4,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.75,complete,fear,strong (>=0.7)
1+4+5+24,4,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+10+12,4,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.8571428571428571,complete,interest,strong (>=0.7)
2+17+20+25+26+32,6,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.6666666666666666,complete,fear,moderate (0.4-0.7)
