occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
6+17,2,2,2,1.4620000000000002,4.837964170646234e-6,1.5387831235697585e-4,,A
2+14,2,2,2,1.462,4.837964170646234e-6,1.5387831235697582e-4,,NA
1+2+5+10,4,3,3,1.46,4.831345888607046e-6,1.5366780850970227e-4,,C
6+12+20+25,4,4,4,1.459,4.828036747587453e-6,1.535625565860655e-4,,B
4+7+25+26,4,2,2,1.4280000000000002,4.725453375980042e-6,1.5029974695332526e-4,,A
5+17+24,3,4,4,1.427,4.722144234960448e-6,1.5019449502968844e-4,,NA
1+2+5+17+25+33,6,1,2,1.427,4.722144234960448e-6,1.5019449502968844e-4,,NA
6+12+15+26,4,1,1,1.427,4.722144234960448e-6,1.5019449502968844e-4,,NA
2+20+25,3,1,1,1.427,4.722144234960448e-6,1.5019449502968844e-4,,C
17+18+25,3,5,5,1.426,4.718835093940854e-6,1.5008924310605165e-4,,A
4+17+20,3,4,5,1.425,4.715525952921261e-6,1.499839911824149e-4,,A
4+6+25+26,4,2,3,1.425,4.715525952921261e-6,1.499839911824149e-4,,A
1+2+25+27,4,1,2,1.394,4.612942581313851e-6,1.4672118154967462e-4,,NA
4+6+7+12+25,5,1,1,1.394,4.612942581313851e-6,1.4672118154967462e-4,,A
6+20+25,3,4,4,1.393,4.609633440294257e-6,1.4661592962603786e-4,,A
1+2+4+12+25,5,4,4,1.393,4.609633440294257e-6,1.4661592962603786e-4,,C
12+18+25+26,4,3,4,1.392,4.606324299274663e-6,1.4651067770240107e-4,cordaro2018_relief_1,B
1+2+5+17+18,5,2,2,1.359,4.497122645628065e-6,1.4303736422238724e-4,,C
18+26+36,3,1,2,1.351,4.4706495174713145e-6,1.42195348833293e-4,,NA
1+12+17,3,1,2,1.326,4.387920991981468e-6,1.3956405074237345e-4,,A
12+14+17,3,1,1,1.325,4.384611850961874e-6,1.3945879881873665e-4,,NA
2+18,2,2,2,1.325,4.384611850961874e-6,1.3945879881873665e-4,,C
1+4+19+25+26,5,2,3,1.325,4.384611850961874e-6,1.3945879881873665e-4,,NA
